"country","city","type","canonical","osm","current_russian","current_english","needs_russian","needs_english","translation_russian","translation_english","review_status"
"UZ","almalyk","local_area","Акчасай","way:262315485","Акчасай","","","yes","Акчасай","Akchasay","accepted"
"UZ","almalyk","local_area","Ахтахана","way:260236547","Ахтахана","","","yes","Ахтахана","Akhtakhana","accepted"
"UZ","almalyk","local_area","Военный городок","way:259868508","Военный городок","","","yes","Военный городок","Military Town","accepted"
"UZ","almalyk","local_area","Жукова","way:300607422","Жукова","","","yes","Жукова","Zhukova","accepted"
"UZ","almalyk","local_area","Никбайсай","way:259293290","Никбайсай","","","yes","Никбайсай","Nikbaysay","accepted"
"UZ","almalyk","local_area","посёлок ГРЭ","way:701683191","посёлок ГРЭ","","","yes","пос. ГРЭ","GRE Settlement","accepted"
"UZ","almalyk","local_area","Ташмехлесхоз","way:298737323","Ташмехлесхоз","","","yes","Ташмехлесхоз","Tashmekhleskhoz","accepted"
"UZ","almalyk","local_area","Ohangaron shahar sanoat zonasi","way:1446382862","","Ohangaron shahar sanoat zonasi","yes","","промзона Охангарон город","Ohangaron City Ind. Zone","accepted"
"UZ","almalyk","street","50 лет АГМК","way:258726616","50 лет АГМК","","","yes","50 лет АГМК","50 Years of AGMK","accepted"
"UZ","almalyk","street","Алмалыкская улица","way:672451572","Алмалыкская улица | Ахунбабаева улица","","","yes","ул. Алмалыкская | ул. Ахунбабаева","Almalykskaya St. | Akhunbabaeva St.","accepted"
"UZ","almalyk","street","Амира Темура улица","way:1223232083;way:228662732;way:672451570;way:672451576","Амира Темура улица","","","yes","ул. Амира Темура","Amira Temura St.","accepted"
"UZ","almalyk","street","Бустон","way:258598694;way:258598792","Бустон","","","yes","Бустон","Buston","accepted"
"UZ","almalyk","street","Гагарина улица","way:668998340","Гагарина улица","","","yes","ул. Гагарина","Gagarina St.","accepted"
"UZ","almalyk","street","Гастелло улица","way:1445643220","Гастелло улица","","","yes","ул. Гастелло","Gastello St.","accepted"
"UZ","almalyk","street","Известковая улица","way:257730066;way:257730068","Известковая улица","","","yes","ул. Известковая","Izvestkovaya St.","accepted"
"UZ","almalyk","street","Садовая","way:156033764","Садовая","","","yes","Садовая","Sadovaya","accepted"
